Qty,Reference,Description,Mfr Name,Mfr Part Number,Mouser Part Number
15,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C16, C17",0.1μF Ceramic Capacitor,Vishay,A104M15X7RF5TAA,594-A104M15X7RF5TAA
2,"C14, C15",47μF Ceramic Capacitor,TDK,FG22X5R1A476MNT06,810-FG22X5R1A476MNT6
1,D1,"3.0mm LED, yellow",Vishay,TLLY4400,78-TLLY4400
1,D2,"3.0mm LED, green",Vishay,TLLG4400,78-TLLG4400
4,"R1,R17, R22, R27",8.06k resistor 1%,YAGEO,MFR-25FBF52-8K06,603-MFR-25FBF52-8K06
3,"R18, R23, R28",4.02k resistor 1%,YAGEO,MFR-25FBF52-4K02,603-MFR-25FBF52-4K02
9,"R2, R3, R4, R5, R6, R14,R19, R24, R29",2k resistor 1%,YAGEO,MFR-25FBF52-2K,603-MFR-25FBF52-2K
2,"R12, R13",1.8k resistor 1%,YAGEO,MFR-25FBF52-1K8,603-MFR-25FBF52-1K8
3,"R20, R25, R30",1k resistor 1%,YAGEO,MFR-25FBF52-1K,603-MFR-25FBF52-1K
3,"R21, R26, R31",499 ohm resistor 1%,YAGEO,MFR-25FBF52-499R,603-MFR-25FBF52-499R
2,"R8, R9",220 ohm resistor 1%,YAGEO,MFR-25FBF52-220R,603-MFR-25FBF52-220R
2,"R10, R11",100 ohm resistor 1%,YAGEO,MFR-25FBF52-100R,603-MFR-25FBF52-100R
3,"R7,R15, R16",47 ohm resistor 1%,YAGEO,MFR-25FBF52-47R,603-MFR-25FBF52-47R
1,U1,Raspberry Pi Pico 2 W with headers,Raspberry Pi,SC1634,358-SC1634
1,U2,Raspberry Pi Pico 2 with headers,Raspberry Pi,SC1632,358-SC1632
1,U3,WDC W65C816S,WDC,W65C816S6PG-14,955-W65C816S6PG-14
1,U4,WDC W65C22S,WDC,W65C22S6TPG-14,955-W65C22S6TPG-14
2,"U5,U6",512k SRAM AS6C4008,Alliance,AS6C4008-55PCN,913-AS6C4008-55PCN
1,U7,74AC245 Octal Tri-State Bus Transceiver,TI,CD74AC245E,595-CD74AC245E
1,U8,"74AC573 Octal Transparent Latch, 3-State",TI,CD74AC573E,595-CD74AC573E
1,U9,74AC00 Quad NAND,TI,CD74AC00E,595-CD74AC00E
1,U10,74AC04 Hex Inverter,TI,CD74AC04E,595-CD74AC04E
1,U11,74HC4002 Dual 4 input NOR,TI,CD74HC4002E,595-CD74HC4002E
2,"U12, U13",74AC20 Dual 4 Input NAND,TI,CD74AC20E,595-CD74AC20E
3,"J1,J2,J4","PIX,PWR&AMP,AVOUT 2x8 Pin headers",Amp,10129381-914001BLF,649-1012938191401BLF
1,J3,GPIO 2x12 Pin Header,Amp,10129381-924001BLF,649-1012938192401BLF
1,JP4,1x2 Jumper,Amp,10129378-902003BLF,649-1012937890203BLF
1,JP3,1x3 Jumper,Amp,10129378-903003BLF,649-1012937890303BLF
2,"JP3,JP4",Jumper Socket,Harwin,855-M7567-46,855-M7567-46
4,"U1,U2",Pico 20 Pin Socket,Wurth,61302011821,710-61302011821
1,J3,VGA Jack,Amp,L77HDE15SD1CH4FVGA,523-7HDE15SD1CH4FVGA
1,J4,Audio Jack,CUI,SJ1-3525NG-GR,490-SJ1-3525NG-GR
1,SW1,Reset Button,CUI,TS11-674-43-BK-160-RA-D,179-TS1167443160RAD
5,"U9, U10,U11,U12,U13",14-pin IC Socket,TE,1-2199298-3,571-1-2199298-3
1,U8,16-pin IC Socket,TE,1-2199298-4,571-1-2199298-4
1,U7,20-pin IC Socket,TE,1-2199298-6,571-1-2199298-6
2,"U5,U6",32-pin IC Socket,TE,1-2199300-2,571-1-2199300-2
2,"U3,U4",40-pin IC Socket,TE,1-2199299-5,571-1-2199299-5
4,PCB,Stick-on Bumper Feet,Essentra,ASPR-8-125,144-ASPR-8-125
